,grupo,nivel,comp_destino,comp_especif,sueldo,fmr,c4%,total,media_compl_especif,salario_total
0,A1,22.0,8291.78,18107.460000000003,17049.72,694.96,0.0,44143.920000000006,20933.192,46274.691999999995
1,A1,22.0,8291.78,18642.26,17049.72,694.96,0.0,44678.719999999994,20933.192,46274.691999999995
2,A1,22.0,8291.78,19838.559999999998,17049.72,694.96,0.0,45875.02,20933.192,46274.691999999995
3,A1,22.0,8291.78,20221.600000000002,17049.72,694.96,0.0,46258.060000000005,20933.192,46274.691999999995
4,A1,22.0,8291.78,20619.34,17049.72,694.96,0.0,46655.799999999996,20933.192,46274.691999999995
5,A1,22.0,8291.78,21024.64,17049.72,694.96,0.0,47061.1,20933.192,46274.691999999995
6,A1,22.0,8291.78,21393.399999999998,17049.72,694.96,0.0,47429.85999999999,20933.192,46274.691999999995
7,A1,22.0,8291.78,21800.8,17049.72,694.96,0.0,47837.26,20933.192,46274.691999999995
8,A1,22.0,8291.78,23194.92,17049.72,694.96,0.0,49231.38,20933.192,46274.691999999995
9,A1,22.0,8291.78,24488.940000000002,17049.72,694.96,0.0,50525.4,20933.192,46274.691999999995
10,A1,23.0,8886.5,19832.68,17049.72,694.96,0.0,46463.86,,
11,A1,23.0,8886.5,21877.8,17049.72,694.96,0.0,48508.98,,
12,A1,23.0,8886.5,21991.34,17049.72,694.96,0.0,48622.52,,
13,A1,23.0,8886.5,22526.14,17049.72,694.96,0.0,49157.32,,
14,A1,23.0,8886.5,24464.86,17049.72,694.96,0.0,51096.04,,
15,A1,23.0,8886.5,24514.559999999998,17049.72,694.96,0.0,51145.74,,
16,A1,23.0,8886.5,24531.5,17049.72,694.96,0.0,51162.68,,
17,A1,23.0,8886.5,25054.960000000003,17049.72,694.96,0.0,51686.14000000001,,
18,A1,23.0,8886.5,25104.66,17049.72,694.96,0.0,51735.840000000004,,
19,A1,23.0,8886.5,25135.74,17049.72,694.96,0.0,51766.920000000006,,
20,A1,23.0,8886.5,25161.36,17049.72,694.96,0.0,51792.54,,
21,A1,23.0,8886.5,25178.3,17049.72,694.96,0.0,51809.48,,
22,A1,23.0,8886.5,25456.34,17049.72,694.96,0.0,52087.52,,
23,A1,23.0,8886.5,25713.100000000002,17049.72,694.96,0.0,52344.280000000006,,
24,A1,23.0,8886.5,26103.14,17049.72,694.96,0.0,52734.32,,
25,A1,23.0,8886.5,27093.22,17049.72,694.96,0.0,53724.4,,
26,A1,23.0,8886.5,28263.2,17049.72,694.96,0.0,54894.38,,
27,A1,23.0,8886.5,21824.460000000003,17049.72,694.96,0.0,49049.24,,
28,A1,23.0,8886.5,22554.0,17049.72,694.96,0.0,49778.78,,
29,A1,23.0,8886.5,23034.2,17049.72,694.96,0.0,50258.98,,
30,A1,23.0,8886.5,23765.98,17049.72,694.96,0.0,50990.76,,
31,A1,23.0,8886.5,27269.48,17049.72,694.96,0.0,54494.26,,
32,A1,23.0,8886.5,27916.28,17049.72,694.96,0.0,55141.06,,
33,A1,23.0,8886.5,28451.08,17049.72,694.96,0.0,55675.86,,
34,A1,23.0,8886.5,28733.46,17049.72,694.96,0.0,55958.24,,
35,A1,23.0,8886.5,28808.079999999998,17049.72,694.96,0.0,56032.85999999999,,
36,A1,23.0,8886.5,28947.38,17049.72,694.96,0.0,56172.159999999996,,
37,A1,23.0,8886.5,29268.260000000002,17049.72,694.96,0.0,56493.04,,
38,A1,23.0,8886.5,29380.260000000002,17049.72,694.96,0.0,56605.04,,
39,A1,23.0,8886.5,29805.019999999997,17049.72,694.96,0.0,57029.799999999996,,
40,A1,23.0,8886.5,29915.059999999998,17049.72,694.96,0.0,57139.84,,
41,A1,23.0,8886.5,30451.82,17049.72,694.96,0.0,57676.6,,
42,A1,23.0,8886.5,30659.859999999997,17049.72,694.96,0.0,57884.63999999999,,
43,A1,23.0,8886.5,31001.18,17049.72,694.96,0.0,58225.96,,
44,A1,23.0,8886.5,31330.18,17049.72,694.96,0.0,58554.96,,
45,A1,23.0,8886.5,31679.899999999998,17049.72,694.96,0.0,58904.68,,
46,A1,23.0,8886.5,31702.859999999997,17049.72,694.96,0.0,58927.63999999999,,
47,A1,23.0,8886.5,31916.5,17049.72,694.96,0.0,59141.28,,
48,A1,23.0,8886.5,32372.62,17049.72,694.96,0.0,59597.4,,
49,A1,23.0,8886.5,32465.16,17049.72,694.96,0.0,59689.939999999995,,
50,A1,23.0,8886.5,32613.559999999998,17049.72,694.96,0.0,59838.34,,
51,A1,23.0,8886.5,34818.84,17049.72,694.96,0.0,62043.619999999995,,
52,A1,23.0,8886.5,36744.96,17049.72,694.96,0.0,63969.74,,
53,A1,23.0,8886.5,38809.68,17049.72,694.96,0.0,66034.46,,
54,A1,23.0,8886.5,39268.46,17049.72,694.96,0.0,66493.24,,
55,A1,23.0,8886.5,39853.380000000005,17049.72,694.96,0.0,67078.16000000002,,
56,A1,25.0,10074.4,35468.579999999994,17049.72,694.96,0.0,63287.659999999996,41138.76666666667,68262.88666666667
57,A1,25.0,10074.4,43672.86,17049.72,694.96,0.0,71491.94000000002,41138.76666666667,68262.88666666667
58,A1,25.0,10074.4,44274.86,17049.72,694.96,0.0,72093.94000000002,41138.76666666667,68262.88666666667
59,A1,26.0,11355.12,25074.42,17049.72,694.96,0.0,54174.22,34134.77487179488,62539.61487179488
60,A1,26.0,11355.12,25831.960000000003,17049.72,694.96,0.0,54931.76,34134.77487179488,62539.61487179488
61,A1,26.0,11355.12,27660.22,17049.72,694.96,0.0,56760.020000000004,34134.77487179488,62539.61487179488
62,A1,26.0,11355.12,29169.28,17049.72,694.96,0.0,58269.08,34134.77487179488,62539.61487179488
63,A1,26.0,11355.12,29759.38,17049.72,694.96,0.0,58859.18,34134.77487179488,62539.61487179488
64,A1,26.0,11355.12,29816.079999999998,17049.72,694.96,0.0,58915.88,34134.77487179488,62539.61487179488
65,A1,26.0,11355.12,29925.980000000003,17049.72,694.96,0.0,59025.780000000006,34134.77487179488,62539.61487179488
66,A1,26.0,11355.12,30147.46,17049.72,694.96,0.0,59247.26,34134.77487179488,62539.61487179488
67,A1,26.0,11355.12,30160.899999999998,17049.72,694.96,0.0,59260.700000000004,34134.77487179488,62539.61487179488
68,A1,26.0,11355.12,30223.760000000002,17049.72,694.96,0.0,59323.560000000005,34134.77487179488,62539.61487179488
69,A1,26.0,11355.12,30633.399999999998,17049.72,694.96,0.0,59733.200000000004,34134.77487179488,62539.61487179488
70,A1,26.0,11355.12,30870.559999999998,17049.72,694.96,0.0,59970.36,34134.77487179488,62539.61487179488
71,A1,26.0,11355.12,31044.16,17049.72,694.96,0.0,60143.96,34134.77487179488,62539.61487179488
72,A1,26.0,11355.12,31578.96,17049.72,694.96,0.0,60678.76,34134.77487179488,62539.61487179488
73,A1,26.0,11355.12,31634.260000000002,17049.72,694.96,0.0,60734.060000000005,34134.77487179488,62539.61487179488
74,A1,26.0,11355.12,31659.600000000002,17049.72,694.96,0.0,60759.4,34134.77487179488,62539.61487179488
75,A1,26.0,11355.12,31681.16,17049.72,694.96,0.0,60780.96,34134.77487179488,62539.61487179488
76,A1,26.0,11355.12,32035.78,17049.72,694.96,0.0,61135.58,34134.77487179488,62539.61487179488
77,A1,26.0,11355.12,32098.640000000003,17049.72,694.96,0.0,61198.44000000001,34134.77487179488,62539.61487179488
78,A1,26.0,11355.12,32194.399999999998,17049.72,694.96,0.0,61294.200000000004,34134.77487179488,62539.61487179488
79,A1,26.0,11355.12,32508.28,17049.72,694.96,0.0,61608.08,34134.77487179488,62539.61487179488
80,A1,26.0,11355.12,32646.600000000002,17049.72,694.96,0.0,61746.4,34134.77487179488,62539.61487179488
81,A1,26.0,11355.12,32651.22,17049.72,694.96,0.0,61751.020000000004,34134.77487179488,62539.61487179488
82,A1,26.0,11355.12,32900.98,17049.72,694.96,0.0,62000.780000000006,34134.77487179488,62539.61487179488
83,A1,26.0,11355.12,33104.54,17049.72,694.96,0.0,62204.340000000004,34134.77487179488,62539.61487179488
84,A1,26.0,11355.12,33214.44,17049.72,694.96,0.0,62314.240000000005,34134.77487179488,62539.61487179488
85,A1,26.0,11355.12,33499.9,17049.72,694.96,0.0,62599.700000000004,34134.77487179488,62539.61487179488
86,A1,26.0,11355.12,34281.52,17049.72,694.96,0.0,63381.32,34134.77487179488,62539.61487179488
87,A1,26.0,11355.12,34408.22,17049.72,694.96,0.0,63508.020000000004,34134.77487179488,62539.61487179488
88,A1,26.0,11355.12,34443.36,17049.72,694.96,0.0,63543.16,34134.77487179488,62539.61487179488
89,A1,26.0,11355.12,34652.66,17049.72,694.96,0.0,63752.46000000001,34134.77487179488,62539.61487179488
90,A1,26.0,11355.12,35120.68,17049.72,694.96,0.0,64220.48,34134.77487179488,62539.61487179488
91,A1,26.0,11355.12,36954.68,17049.72,694.96,0.0,66054.48000000001,34134.77487179488,62539.61487179488
